Index,case,accept to use AI? trust it?,require explanation? (yes/no/x(not asked)),1st round: specific explanation,2nd round: Comments on card sorting choices ,cards fulfill requirement? (y/n/partial/x(not asked)/black:accept blackbox AI and not require explaination),1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th
P03,car-safe,y,y,,,partial,@irc,@se,@output,,,,,,,,,,
P03,car-unexpect,y,n,,,y,@irc @input,,,,,,,,,,,,
P03,car-bias,y,y,,,partial,@performance,@se,,,,,,,,,,,
P03,car-multi,y,n,,,n,none,,,,,,,,,,,,
P03,Car-communicate,y,y,,,partial,@irc,@te,@performance ,,,,,,,,,,
P03,house-trust,y,y,,,y,@output,@performance,,,,,,,,,,,
P03,house-expected,y,y,,,y,@input @te,@ce,@rt,,,,,,,,,,
P03,house-unexpect,y,y,,,y,@input @te @se,@ce @fs @dt,,,,,,,,,,,
P03,house-communicate,y,y,,,y,output performance ,te fs,,,,,,,,,,,
P03,house-control,y,y,,,y,@ce,@input @fi,@te @se,@fs,,,,,,,,,
P04,#Bird-unexpect,y,y,,,y,@performance,@rt,@ir @df,@dt @te,,,,,,,,,
P04,#Bird-trust,y,y,,,y,@performance,@df @rt,@dt,,,,,,,,,,
P04,#Bird-report,y,y,,,y,@rt,df,ir irc,,,,,,,,,,
P04,#Bird-learning,y,y,,,y,@ir @irc,@rt,@te,@output @prior,,,,,,,,,
P04,#Bird-differentiate,y,y,,,y,rt,df,ir irc,ceh,cet,,,,,,,,
P04,#House-trust,y,y,,,y,prior,se te,output,,,,,,,,,,
P04,#House-control,y,y,,,y,@input @te,@ce,@fs,,,,,,,,,,
P04,#House-expected,y,y,,,black,none,,,,,,,,,,,,
P04,#House-unexpect,y,y,,,y,se te,output,rt dt,,,,,,,,,,
P04,#House-communicate,y,y,,,y,se te,output,rt,,,,,,,,,,
P06,#Health-trust,n,n,,,y,performance,prior,df,dt,fa,rt,input,ce,se,te,fs,fi,output
P06,#Health-unexpect-lowRisk,n,y,,,y,performance,prior,df,dt,fa,rt,input,ce,fs,fi,output,se,te
P06,#Health-expected-highRisk,n,n,,,x,x,,,,,,,,,,,,
P06,#Health-communicate-doctor,n,n,,,y,performance,output,prior,df,dt,input,fa,rt,fs,fi,ce,se,te
P06,#Health-control,n,x,,,y,performance,prior,df,dt,fa,cet,rt,input,fs,fi,output,se,te
P06,#Health-bias,n,x,,,y,performance,prior,df,dt,ce,input,fa,te,se,rt,fs,fi,output
P06,#Health-multi,n,x,,,partial,performance,prior,df,dt,fa,rt,input,ce,fs,fi,output,se,te
P06,#Bird-trust,y,y,,,y,te,dt,output,prior,df,performance,rt,,,,,,
P06,#Bird-unexpect,n,n,,,y,se,te,df,dt,ceh,cet,prior,output,rt,input,,,
P06,#Bird-learning,y,y,,,y,se,te,ceh,cet,prior,output,rt,input df,,,,,
P06,#Bird-report,y,y,,,y,se,te,dt,rt,ceh,cet,df,input,prior,output,,,
P06,#Bird-differentiate,y,y,,,y,rt,te,se,dt,ceh,cet,df,prior,output,input,,,
P16,#Health-control,y,y,control,"1st: @ce that’s the most obvious
2nd: @fa help to value each feature. I thought family history is important, but the bar chart did not show it as important as I think. Can help me to focus on losing weight rather than exercise. 
3rd: two @fs, especially see exercise can have a lot to gain on health.",y,ce,fa,fs,,,,,,,,,,
P16,#Health-trust,y,y,"input, performance, credential, control","1st: @output, seeing a single number might lead me to think I might be the 1 out of 10 chances of AI getting it wrong, but looking at the narrow range with high certainty (95%) lead me to think AI is quite sure, and I might not escape the chance/low likelihood.
2nd: @performance, the mean error range +- 15% that’s ok, but max error of +-30 is too much, more than 60% range, tends to let me think it’s more like random guess, which lower the trust for me.
3rd @te and @prior let me to see similar people like mine, give me some gut feeling to trust the AI, whereas 1st and 2nd let me trust AI based on rational thinking, @te and @prior let me trust kinda emotionally.
@se and @te provide intuitive gut feeling for me the same people like me, provide a reference to show their profile (more context, compare mine with others).
",y,output,performance,te prior,,,,,,,,,,
P16,#Health-expected-highRisk,y,n,control,"1st: @input help me to see how AI is based on
2nd: @te and @se give me reference to refer to, maybe I think as young as my age 30’s won’t be at high risk, but seeing the @se as me also are also at the same age make me think something is really wrong.
3rd: again, the @fa help me to see the position of family history, in contrast to other factors. ",y,input,se te,fa,,,,,,,,,,
P16,#Health-unexpect-lowRisk,y,y,"input, feature,",,x,x,,,,,,,,,,,,
P16,#Health-communicate-doctor-family,y,y,"features, risk factors","1st and 2nd: @df and @dt, the diagram are more intuitive to show to doctors about how AI reach its prediction. 
3rd: @output give some statistics
4th: @fi gives (maybe the important factors?)
Would rather not present doctor with some number data, since consider doctor is more tend to think based on experience rather than data.",y,df,dt,output,fi,,,,,,,,,
P16,#Health-multi,y,y,find out what it's based on for the opposite reason maybe to discredit it,"1st: @fa help me to check adjustable factors, let the company think it’s not changeable.
2nd: @performance show there’s some error in the AI
",y,fa,performance,,,,,,,,,,,
P16,#Health-bias,y,y,training data population it's based on,"1st and 2nd: @te and @se indicate age and gender
3rd: @fs but with gender contribute, and where the data come from which regions.",partial,te,se,fs,,,,,,,,,,
P16,#Bird-trust,y,y,"textbook image, users' reviews","1st: @performance 
2nd and 3rd: @te, @se tend to see from the pictures 
4th: the potion of number of data it learns from kinda build trust 
5th: see how the AI reaches its decision.",y,performance,te,se,prior,df,,,,,,,,
P16,#Bird-unexpect,y,y,"is error and correction machnism, similar birds list w/ images","1st: @cet and @ceh are most useful. the transition that highlight the head part is easy for me to see.
2nd: @rt but there’s no images, so put it as second
3rd: @irc and @ic
4th: @df, @te @se",y,ceh cet,rt,ir irc,df se te,,,,,,,,,
P16,#Bird-learning,y,y,"interactive learning features, record user error and progression","1st: @irc and @ir teach the general knowledge of the important regions
2nd: @df shows in steps how to seperate the imporant regions
3rd: @ceh, @cet
4th: @rt",y,ir irc,df,ceh cet,rt,,,,,,,,,
P16,#Bird-differentiate,y,y,grouping w/ similar looking birds to avoid trip up,"Reverse the bird-learn
1st and 2nd: @ceh, @cet @rt give specific info to differentiate
4th and 5th: general info to identify the important regions
",y,ceh cet,rt,ir irc,df,,,,,,,,,
P16,#Bird-report,y,y,bio containing distinguishing characteristics,"1st: @df 
2nd: @irc provide more information than @ir. 
@dt contains much more info to digest, compared to @df. @rt don't have the picture for me to look at, whereas examples provide images that I can check on my own.
",y,df,irc,ir,,,,,,,,,,
P07,#House-trust,y,y,"local comparables, features",,y,se output,,,,,,,,,,,,
P07,#House-expected,y,y,comparables,control to improve,y,output,se te,ce rt,,,,,,,,,,
P07,#House-unexpect,n,n,"go to human expert, won't buy in because AI is new concept",same w/ expected,y,output,se te,ce rt,,,,,,,,,,
P07,#House-control,n,n,go to human expert,things that you can change,y,output,te,fs,ce,,,,,,,,,
P07,#House-communicate,y,y,verbal discussion w/ partner,prefer verbal,n,none,,,,,,,,,,,,
P07,#Car-unexpect,y,n,seek for human help,none cards can answer the reason why it's slower,n,none,,,,,,,,,,,,
P07,#Car-bias,y,y,historical test,,y,performance,irc,input,te,,,,,,,,,
P07,#Car-communicate,y,y,performance from comsumer reports,"perfor verbally communicate, not from cards",n,none,,,,,,,,,,,,
P07,#Car-multi,n,n,not an issue,,x,x,,,,,,,,,,,,
P07,#Car-safe,y,y,"reliability, manufacturers history",,y,irc,te,se input,performance,,,,,,,,,
P08,#Health-trust,depends,y,curious to check explanation; only want to check when high risk; want to know why,trust only when performance is high,y,performance,,,,,,,,,,,,
P08,#Health-communicate-doctor-family,y,y,personal record,,y,fa input,,,,,,,,,,,,
P08,#Health-bias,y,y,,"since ppl have different lifestyle and family history, can't compare",n,none,,,,,,,,,,,,
P08,#Health-multi,n,n,"no, I didn't think I would want to use the software if it affects my insurance. ","if risk is low, doesn't matter, if high, don't use AI",black,none,,,,,,,,,,,,
P08,#Health-unexpect-lowRisk,y,y,more personal info,,y,fa input,,,,,,,,,,,,
P08,#Health-unexpect-highRisk,x,x,,,x,x,,,,,,,,,,,,
P08,#Health-expected-highRisk,y,y,,,y,fa input,,,,,,,,,,,,
P08,#Health-expected-lowRisk,y,n,,,y,performance,,,,,,,,,,,,
P08,#Health-control,n,n,,,y,df input,,,,,,,,,,,,
P08,#Bird-trust,y,n,I don't think birds is such an important thing,,y,rt,cet,df,te,,,,,,,,,
P08,#Bird-unexpect,depends,x,"I think if the difference is small then it's okay. So mistakes happen, but if it's such a big difference then, and maybe not use it. ",,n,none,,,,,,,,,,,,
P08,#Bird-learning,y,n,,,y,df irc,,,,,,,,,,,,
P08,#Bird-report,y,y,"I think if I use the website, I expect it to do that. Gave you everything that you're looking for in the exam.",,y,rt,,,,,,,,,,,,
P08,#Bird-differentiate,y,y,"just put the difference. if you put the image, you get that text, ",,y,rt,,,,,,,,,,,,
P09,#Car-safe,y,y,eval performance,,y,rt,dt,prior,se,performance,,,,,,,,
P09,#Car-bias,y,y,eval performance,"may only focus on the local image showned in cards, and pick cards if the image meets user expectation.",y,rt dt df,,,,,,,,,,,,
P09,#Car-unexpect,y,n,don't think that would happen,,y,dt,se,df,irc,ir,rt,,,,,,,
P09,#Car-multi,y,y,want to know why because it shouldn't happen,don't think will get sick with autopilot mode,n,none,,,,,,,,,,,,
P09,#Car-communicate,y,y,"eval performance, observed performance","#Car-communicate I think I also, so then the data that these tests have been done, so this data @prior would be important. How did they arrive at the data? And then this @dt also tell them how the auto pilot car operated at a stop sign, 50 kilometers parking, and it will recognize all these things. And then #Car-communicate @rt also show them the different conditions that, this @rt is how it obeys the traffic signal, stop sign, then it will slow down; at the speed and then slow down and stop. If traffic is this, same speed. So it is getting that information. And also show them #Car-communicate @ir that when a there are different objects.",y,prior,dt,rt,ir,,,,,,,,,
P09,#Bird-trust,y,y,customer review,,y,performance,te irc output,,,,,,,,,,,
P09,#Bird-unexpect,depends,x,accept <10% or <5% error rate,"tend to look for comparison in @dt @rt @irc/@ceh, didn't pick @ceh because it's covered in @irc",y,performance,irc rt dt,,,,,,,,,,,
P09,#Bird-learning,y,x,AI technology is already shaping edu field,"So this @rt is giving me a lot of information how to recognize. And then it started telling me which features to look at @df. And then it's doing the comparison @dt. They're giving the percentages @te, then it's telling which features @irc how much precentages, like general.",y,rt,df,dt,te,irc,,,,,,,,
P09,#Bird-report,y,y,give more features of this bird. Like maybe the long legs,,y,rt,,,,,,,,,,,,
P09,#Bird-differentiate,y,y,online search to find myself,"@rt and @df all the same things, but in image and text",y,rt df,,,,,,,,,,,,
P13,#Health-trust,n,n,I look at them as supplements rather than replacements,,x,x,,,,,,,,,,,,
P13,#Health-communicate-doctor-family,n,n,"Right. So if they have my health records, then the it's in the same medical clinic that the doctor works. It's not medical records that sits in somebody else's office and they decide to do evaluation of people with their own free time. So if I received that, then I will ask to speak with the family doctor, for him to explain to me why this machine came to this conclusion. I don't ask computers, why they came with this with this conclusion. I asked the doctors,",,x,x,,,,,,,,,,,,
P13,#Health-control,n,n,,,x,x,,,,,,,,,,,,
P13,#Car-safe,y,y,"industry regulations, standards, sensor measurement",measurement of distance and identification of objects,partial,ir irc dt,,,,,,,,,,,,
P13,#Car-bias,y,y,as long as there is credibility behind the performance of the sensors,,partial,ir irc dt,,,,,,,,,,,,
P13,#Car-unexpect,y,y,expect warnings if car goes wrong,The car can point to you what it triggers,n,none,,,,,,,,,,,,
P13,#Car-multi,n,n,"if get sick, something wrong with the car","Because if that's the case, then I will not buy the car.",n,none,,,,,,,,,,,,
P13,#Car-communicate,y,y,give me numbers as it relates to safety performance indicators,,y,ir irc @dt @output @prior,,,,,,,,,,,,
P14,#House-trust,y,y,how long has AI been in the market; how it calculate the prediction,"both provide more reference, @fa can check if meet my needs",y,fa,se,,,,,,,,,,,
P14,#House-expected,y,y,how AI consider personalized info into prediction,"add @prior to @fa @se, want to see the data AI learns from",y,fa,se,prior,,,,,,,,,,
P14,#House-unexpect,y,y,why,both expected and unexpect are the same,y,fa,se,prior,,,,,,,,,,
P14,#House-control,y,y,don't know,,y,fa,se,prior,ce,,,,,,,,,
P14,#House-communicate,y,y,features,add @input as important feature to show to family,y,fa,se,input,prior,ce,,,,,,,,
P14,#Bird-trust,y,y,"features, references",@dt only because it show a bit variation,y,irc,dt,se,,,,,,,,,,
P14,#Bird-unexpect,y,y,"why the data, studies, what would be a finch to AI then?",,y,input,irc,dt,se,,,,,,,,,
P14,#Bird-learning,y,y,"info about birds, @se","only the focus region in @df matters, arrow and decision flow doesn't matter",y,se,dt,input,irc,,,,,,,,,
P14,#Bird-report,y,y,features,"same with #learning, don't use @rt prefer to see image",y,se,dt,input,irc,,,,,,,,,
P14,#Bird-differentiate,y,y,features,,y,df,irc,se,ceh,ir,,,,,,,,
P15,#Car-safe,y,y,reliablility under usual and unusual road conditions,"Think humans need to be able to take over AI in case of extreme case. 
In case of unexpect behaviour, user need to check why. But don’t see any of the info from the cards useful, because he believes the error is in the hardware. 
Thinks AI is logic, and cannot be programmed to enumerate all the possible scenarios. And mechanical structure is unreliable and error-prone. 
",n,none,,,,,,,,,,,,
P15,#Car-bias,y,y,test driving in different conditions,,n,none,,,,,,,,,,,,
P15,#Car-unexpect,y,y,why,,n,none,,,,,,,,,,,,
P15,#Car-multi,y,y,why,,n,none,,,,,,,,,,,,
P15,#Car-communicate,y,y,test driving,,n,none,,,,,,,,,,,,
P17,#Car-safe,y,n,"it's not really intellectually I'm not acceptable (of the autonomous driving), it's emotionally not acceptable. if I actually liked to be in the car and then I'd be more comfortable rather than getting a bunch of information","I don't think I'd be bothered to check, it too much.",n,none,,,,,,,,,,,,
P17,#Car-bias,y,n,"test driving in different conditions, have physical experience",I don't find it (cards) helpful. I still be nervous.,n,none,,,,,,,,,,,,
P17,#Car-unexpect,y,n,"I'm assuming it has some kind of software that takes care of that. And it's going to be, um, beyond my ability to comprehend that it's going to be obviously extremely complicated. So I'm assuming that the software engineers know what they're doing. That doesn't mean it's not gonna fail.","I'm assuming anytime I can override this manually, and I'd be okay with it.",n,none,,,,,,,,,,,,
P17,#Car-multi,y,n,"as they get more used to, it probably will probably disappear by itself.","visual ones because driving is a visual experience, resonate",y,ir,irc,input,,,,,,,,,,
P17,#Car-communicate,y,n,"I find sometimes with new things, information to be counter productive, if you tell me all kinds of facts, don't really change. I have to get used to this thing.","This @ir looks like I'm looking through the front window of your car, and it's kind of doing what you do when you drive, you're checking the lanes and looking ahead.",y,ir,,,,,,,,,,,,
P17,#Health-trust,y,n,I think the math is probably correct. So it's probably right. (no matter the prediction risk is 80% or 10%),,y,fs,output fi,dt fa,,,,,,,,,,
P17,#Health-communicate-doctor-family,y,partial,"I don't know that I'd be asking technical questions about, for something like that at the associating Why, why does it think I can get diabetes.",just take the number to talk with my wife,y,output,,,,,,,,,,,,
P17,#Health-bias,y,n,"if I was a woman and I'd be a bit more suspicious, cause sometimes there's unconscious male bias and these things, but (since participant is a white male), no, actually I'd still be pretty confident.",don't worry as the software is North American centric,n,none,,,,,,,,,,,,
P17,#Health-multi,y,n,"using software is just an enhancement of that system. Just a more efficient way of doing it. So, no, I think I'd be quite comfortable",nothing can do with the company decision,n,none,,,,,,,,,,,,
P17,#Health-unexpect-highRisk,y,n,I'm assuming that I'm living a healthy lifestyle. That's why I would believe that.,,x,x,,,,,,,,,,,,
P17,#Health-expected-highRisk,y,n,"I probably believe it, if I had a bad lifestyle.",,x,x,,,,,,,,,,,,
P17,#Health-unexpect-lowRisk,y,partial,"So I definitely want to know why, I'm in good health. Will go to doctors to ask why, but not check the cards",,n,none,,,,,,,,,,,,
P17,#Health-control,y,n,"I'd be okay if the software is telling me, then I'd be okay with that, because a lot of lifestyle diseases, you know the answer already",I sort of know that,n,none,,,,,,,,,,,,
P18,#Bird-trust,y,y,use AI because of the visual aid; consumer reviews,"1st: @se tend to see the similar examples to see what's missing/other possibility (similar to doctors differentiatial diagnosis, want to enumerate all the possibility); 
3rd: @cet and @ceh thinks they're cool idea.",y,output se,rt df irc,ceh cet,,,,,,,,,,
P18,#Bird-unexpect,y,y,"provide reasons, key feature, acknowledge and says the differences","1st: @output see all the options AI consider.
2nd: Sees @df and @irc basically the same. But @df has better hierarchical structure, whereas @irc contains the additional contribution information. Would like to see them combined. @se to check what is considered.
3rd: @ceh and @cet",y,output,df irc se,ceh cet,,,,,,,,,,
P18,#Bird-learning,y,y,arrows pointing at like a certain key feature that maybe like someone wouldn't really notice right away,,y,rt df,cet,,,,,,,,,,,
P18,#Bird-report,y,y,keen eye to like notice something's smaller. zoom in zoom out function,"1st: @rt can help to write text. @df and @irc combined 
2nd: @cet",y,rt df,cet,,,,,,,,,,,
P18,#Bird-differentiate,y,y,bird feature info,"1st: @rt. 
2nd: @cet. Can gradually see the changes of beak. Kinda combined text and image.",y,rt,cet,,,,,,,,,,,
P19,#House-trust,y,y,"more variables, the more accurate, historical data, future projections. performance compare w/human, reference study to show how it works.",,y,prior,Performance ,,,,,,,,,,,
P19,#House-expected,y,y,speaking with a person from customer service saying that is accurate,,y,prior,,,,,,,,,,,,
P19,#House-unexpect,y,y,"check it with a real person, to see if there's no mistake. Don't want to read info on website.",,y,se,dt df,,,,,,,,,,,
P19,#House-control,y,y,"optimizing, what's gonna make the house sell for more",,y,fa ce se,,,,,,,,,,,,
P19,#House-communicate,y,y,"a report with graph and pictures, feature contribute, reason behind the price","1st: Find the @output is most useful. Give a upper range so that I can propose my price a bit higher. The high certainty is charming..2nd: @prior, the big data help to back up my trust to the AI. It’s better if I can click on the data and check details. 3rd: @performance 4th: @fa and @ce together tells me which actions are important to increase house value, which I look upon.5th: @te and @se with @dt @df and @rt are back up info shown on demand.",y,output,prior,performance,fa ce,se te,rt dt df,,,,,,,
